,BUILDING TYPE,TOTAL KWH,PREDICTION
103,1,15665.0,121.99999984351234
201,1,13484.0,1094.9999999687898
259,1,201032.0,26617.000001176304
279,1,42952.0,5736.999999872216
297,1,22978.0,1759.0000000012933
307,0,32340.0,3445.000000001917
355,1,23952.0,2121.999999973139
434,1,17110.0,1321.999999876829
465,1,244341.0,32940.00000033855
468,1,65982.0,7361.99999993671
469,1,61020.0,9676.00000008941
479,1,35585.0,4382.999999935801
492,1,30572.0,2138.9999999562206
516,1,18076.0,1542.0000000018572
523,1,59821.0,9252.999999976702
543,1,34756.0,2401.999999970887
590,1,15456.0,1992.9999998963722
610,1,25537.0,1880.9999998977837
631,1,79663.0,11549.000000095679
632,0,369231.0,40725.0000018894
791,1,23918.0,2919.9999999504817
806,0,33619.0,4982.999999890504
807,1,7070.0,-1.2714735930785537e-08
810,1,142707.0,20206.999999957923
833,1,16032.0,1026.000000023094
838,0,6353.0,554.9999999421598
839,1,7136.0,448.9999999112806
840,0,34378.0,6784.999999934964
842,0,23756.0,3811.9999998930816
848,1,68652.0,5137.999999964881
849,1,20026.0,2162.999999899739
865,1,19829.0,2350.0000000086056
974,1,13737.0,727.999999877833
1001,1,11257.0,1610.9999999116608
1023,0,71706.0,9303.000000119519
1027,1,77127.0,9589.000000079428
1028,1,40519.0,3393.0000000055625
1037,1,91159.0,13231.999999906446
1038,1,36908.0,5734.999999932332
1039,1,75708.0,12729.999999949676
1042,1,37984.0,2998.999999919197
1046,1,45735.0,6384.999999951053
1047,1,29679.0,2166.9999999431675
1048,1,95189.0,10689.00000000238
1049,1,59262.0,6124.999999995289
1050,1,45766.0,5870.000000112634
1053,1,16794.0,2506.999999906102
1057,0,159392.0,18188.000000447424
1065,0,29968.0,2340.0000000394903
1069,0,19915.0,-6.957634468562901e-08
1079,1,38550.0,5258.000000108388
1166,1,41887.0,6795.000000040614
1168,1,34743.0,3145.999999965021
1188,1,31055.0,6279.999999922731
1191,1,44185.0,2853.0000000085656
1208,0,18772.0,1053.9999998915628
1224,1,19484.0,2843.9999999636457
1229,1,12555.0,657.999999865584
1232,1,42278.0,5407.999999977308
1248,0,24427.0,2528.9999999185857
1253,1,42384.0,3700.999999995047
1259,1,29196.0,2606.999999878204
1280,0,14994.0,655.9999998554522
1285,1,55141.0,8020.999999929791
1292,1,14868.0,1812.999999941805
1300,1,34265.0,3181.9999999441643
1304,1,61372.0,7592.000000067606
1307,1,12537.0,554.9999999982138
1308,1,50832.0,5668.00000001031
1309,1,27429.0,2529.999999906713
1325,0,19621.0,1941.99999987109
1339,1,26463.0,2652.999999912803
1384,1,51150.0,8869.99999995167
1386,1,209392.0,21458.000000026987
1387,1,49878.0,4860.000000040418
1388,1,124140.0,18146.000000053213
1390,1,215223.0,23670.000000194465
1391,1,119681.0,12983.000000123933
1393,1,207428.0,24651.000000760418
1395,1,139524.0,15564.0000001335
1396,1,56482.0,4205.99999986631
1400,0,196752.0,19276.000000179658
1403,1,139633.0,16616.000000385306
1404,1,55073.0,7071.999999888543
1406,1,136833.0,18308.000000796852
1407,1,160811.0,15685.000000362794
1408,0,113198.0,14169.000001485496
1409,1,86595.0,10814.000000078051
1410,1,121736.0,15813.000000147056
1411,1,20174.0,2224.9999999785796
1413,1,59398.0,6231.000000273818
